filename,distance,speed,ship_type,distance_category,speed_category,activity,embedding,predicted,true,predicted_numbers,true_numbers,timestamp
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-01-22_17-03-03_221-370058_Cargo_underway-using-engine_14-1_2470.wav,2470.0,14.1,Cargo,2-3 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-01-22_17-03-03_221-370058_Cargo_underway-using-engine_14-1_2470.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 2-3 km with speed speed_category is activity,3,2,2022-01-22-17-03-03
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-02-07_23-31-41_313-379697_Cargo_underway-using-engine_13-7_4094.wav,4094.0,13.7,Cargo,4-5 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-02-07_23-31-41_313-379697_Cargo_underway-using-engine_13-7_4094.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,4,4,2022-02-07-23-31-41
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-04-24_23-31-43_66-943643_Tanker_underway-using-engine_15-6_3932.wav,3932.0,15.6,Tanker,3-4 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-04-24_23-31-43_66-943643_Tanker_underway-using-engine_15-6_3932.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 3-4 km with speed speed_category is activity,3,3,2022-04-24-23-31-43
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-05-20_17-38-51_168-911973_Reserved_underway-using-engine_11-8_5427.wav,5427.0,11.8,Reserved,5-6 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-05-20_17-38-51_168-911973_Reserved_underway-using-engine_11-8_5427.pt,ship at distance 2-3 km with speed speed_category is activity,ship at distance 5-6 km with speed speed_category is activity,2,5,2022-05-20-17-38-51
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-04-24_17-33-46_83-419713_Tanker_underway-using-engine_12-3_7395.wav,7395.0,12.3,Tanker,7-8 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-04-24_17-33-46_83-419713_Tanker_underway-using-engine_12-3_7395.pt,ship at distance 7-8 km with speed speed_category is activity,ship at distance 7-8 km with speed speed_category is activity,7,7,2022-04-24-17-33-46
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-05-04_19-05-47_305-237181_Tanker_underway-using-engine_12-5_1792.wav,1792.0,12.5,Tanker,1-2 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-05-04_19-05-47_305-237181_Tanker_underway-using-engine_12-5_1792.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 1-2 km with speed speed_category is activity,3,1,2022-05-04-19-05-47
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-04-18_08-41-56_312-696638_Cargo_underway-using-engine_13-0_2875.wav,2875.0,13.0,Cargo,2-3 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-04-18_08-41-56_312-696638_Cargo_underway-using-engine_13-0_2875.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 2-3 km with speed speed_category is activity,3,2,2022-04-18-08-41-56
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-04-24_12-26-57_74-522073_Tanker_underway-using-engine_10-5_4069.wav,4069.0,10.5,Tanker,4-5 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-04-24_12-26-57_74-522073_Tanker_underway-using-engine_10-5_4069.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,4,4,2022-04-24-12-26-57
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-02-23_02-03-05_170-088978_Cargo_underway-using-engine_11-8_3814.wav,3814.0,11.8,Cargo,3-4 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-02-23_02-03-05_170-088978_Cargo_underway-using-engine_11-8_3814.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 3-4 km with speed speed_category is activity,4,3,2022-02-23-02-03-05
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-04-18_15-51-28_228-081451_Other_underway-using-engine_22-5_3217.wav,3217.0,22.5,Other,3-4 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-04-18_15-51-28_228-081451_Other_underway-using-engine_22-5_3217.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 3-4 km with speed speed_category is activity,3,3,2022-04-18-15-51-28
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-04-24_22-25-14_158-940705_Cargo_underway-using-engine_9-3_1999.wav,1999.0,9.3,Cargo,1-2 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-04-24_22-25-14_158-940705_Cargo_underway-using-engine_9-3_1999.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 1-2 km with speed speed_category is activity,4,1,2022-04-24-22-25-14
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-04-24_21-08-32_161-938919_Tanker_underway-using-engine_9-5_16783.wav,16783.0,9.5,Tanker,10+ km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-04-24_21-08-32_161-938919_Tanker_underway-using-engine_9-5_16783.pt,ship at distance 6-7 km with speed speed_category is activity,ship at distance 10+ km with speed speed_category is activity,6,10,2022-04-24-21-08-32
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-02-07_23-41-55_235-082984_Cargo_underway-using-engine_14-6_3863.wav,3863.0,14.6,Cargo,3-4 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-02-07_23-41-55_235-082984_Cargo_underway-using-engine_14-6_3863.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 3-4 km with speed speed_category is activity,4,3,2022-02-07-23-41-55
/srv/embeddings_clap/Grafton_29187_test/G_29187_2022-10-30_08-11-15_225-533973_Tanker_underway-using-engine_9-5_4920.wav,4920.0,9.5,Tanker,4-5 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_29187_2022-10-30_08-11-15_225-533973_Tanker_underway-using-engine_9-5_4920.pt,ship at distance 5-6 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,5,4,2022-10-30-08-11-15
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-04-18_12-37-09_331-530377_Pilot_underway-using-engine_5-5_7108.wav,7108.0,5.5,Pilot,7-8 km,0-8,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-04-18_12-37-09_331-530377_Pilot_underway-using-engine_5-5_7108.pt,ship at distance 5-6 km with speed speed_category is activity,ship at distance 7-8 km with speed speed_category is activity,5,7,2022-04-18-12-37-09
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-04-18_18-55-33_123-614728_Tanker_underway-using-engine_14-1_3932.wav,3932.0,14.1,Tanker,3-4 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-04-18_18-55-33_123-614728_Tanker_underway-using-engine_14-1_3932.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 3-4 km with speed speed_category is activity,3,3,2022-04-18-18-55-33
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-04-18_14-39-53_129-8046_Pilot_underway-using-engine_16-6_4712.wav,4712.0,16.6,Pilot,4-5 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-04-18_14-39-53_129-8046_Pilot_underway-using-engine_16-6_4712.pt,ship at distance 5-6 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,5,4,2022-04-18-14-39-53
/srv/embeddings_clap/Grafton_28434_test/G_28434_2022-09-13_20-02-02_122-303359_Cargo_underway-using-engine_3-7_2350.wav,2350.0,3.7,Cargo,2-3 km,0-8,underway-using-engine,/srv/CLAP/files/Test/G_28434_2022-09-13_20-02-02_122-303359_Cargo_underway-using-engine_3-7_2350.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 2-3 km with speed speed_category is activity,3,2,2022-09-13-20-02-02
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-01-22_09-33-04_44-197361_Cargo_underway-using-engine_8-2_3290.wav,3290.0,8.2,Cargo,3-4 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-01-22_09-33-04_44-197361_Cargo_underway-using-engine_8-2_3290.pt,ship at distance 2-3 km with speed speed_category is activity,ship at distance 3-4 km with speed speed_category is activity,2,3,2022-01-22-09-33-04
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-05-20_01-01-43_219-626391_Tug_power-driven-vessel-towing-astern_4-8_1658.wav,1658.0,4.8,Tug,1-2 km,0-8,power-driven-vessel-towing-astern,/srv/CLAP/files/Test/G_15811_2022-05-20_01-01-43_219-626391_Tug_power-driven-vessel-towing-astern_4-8_1658.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 1-2 km with speed speed_category is activity,4,1,2022-05-20-01-01-43
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-04-24_00-15-42_113-794013_Tanker_underway-using-engine_9-7_5815.wav,5815.0,9.7,Tanker,5-6 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-04-24_00-15-42_113-794013_Tanker_underway-using-engine_9-7_5815.pt,ship at distance 6-7 km with speed speed_category is activity,ship at distance 5-6 km with speed speed_category is activity,6,5,2022-04-24-00-15-42
/srv/embeddings_clap/Grafton_28434_test/G_28434_2022-09-13_23-16-21_278-26108_Reserved_underway-using-engine_12-2_6301.wav,6301.0,12.2,Reserved,6-7 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_28434_2022-09-13_23-16-21_278-26108_Reserved_underway-using-engine_12-2_6301.pt,ship at distance 6-7 km with speed speed_category is activity,ship at distance 6-7 km with speed speed_category is activity,6,6,2022-09-13-23-16-21
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-01-22_08-11-14_457-000831_Cargo_underway-using-engine_11-0_3304.wav,3304.0,11.0,Cargo,3-4 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-01-22_08-11-14_457-000831_Cargo_underway-using-engine_11-0_3304.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 3-4 km with speed speed_category is activity,3,3,2022-01-22-08-11-14
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-02-23_00-51-30_127-892355_Cargo_underway-using-engine_15-3_5364.wav,5364.0,15.3,Cargo,5-6 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-02-23_00-51-30_127-892355_Cargo_underway-using-engine_15-3_5364.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 5-6 km with speed speed_category is activity,4,5,2022-02-23-00-51-30
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-01-22_03-14-39_597-175505_Cargo_underway-using-engine_13-1_6557.wav,6557.0,13.1,Cargo,6-7 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-01-22_03-14-39_597-175505_Cargo_underway-using-engine_13-1_6557.pt,ship at distance 5-6 km with speed speed_category is activity,ship at distance 6-7 km with speed speed_category is activity,5,6,2022-01-22-03-14-39
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-02-07_11-05-07_428-473488_Tanker_underway-using-engine_12-3_4116.wav,4116.0,12.3,Tanker,4-5 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-02-07_11-05-07_428-473488_Tanker_underway-using-engine_12-3_4116.pt,ship at distance 5-6 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,5,4,2022-02-07-11-05-07
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-02-23_11-46-01_133-569707_Dredging_underway-using-engine_11-9_1980.wav,1980.0,11.9,Dredging,1-2 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-02-23_11-46-01_133-569707_Dredging_underway-using-engine_11-9_1980.pt,ship at distance 2-3 km with speed speed_category is activity,ship at distance 1-2 km with speed speed_category is activity,2,1,2022-02-23-11-46-01
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-05-04_22-30-19_27-438181_Cargo_underway-using-engine_8-9_3429.wav,3429.0,8.9,Cargo,3-4 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-05-04_22-30-19_27-438181_Cargo_underway-using-engine_8-9_3429.pt,ship at distance 1-2 km with speed speed_category is activity,ship at distance 3-4 km with speed speed_category is activity,1,3,2022-05-04-22-30-19
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-01-22_00-31-02_15-977921_Passenger_underway-using-engine_6-8_4968.wav,4968.0,6.8,Passenger,4-5 km,0-8,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-01-22_00-31-02_15-977921_Passenger_underway-using-engine_6-8_4968.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,3,4,2022-01-22-00-31-02
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-01-22_18-50-27_245-486013_Tanker_underway-using-engine_12-5_3295.wav,3295.0,12.5,Tanker,3-4 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-01-22_18-50-27_245-486013_Tanker_underway-using-engine_12-5_3295.pt,ship at distance 5-6 km with speed speed_category is activity,ship at distance 3-4 km with speed speed_category is activity,5,3,2022-01-22-18-50-27
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-05-10_00-25-56_194-828144_Cargo_underway-using-engine_14-3_6152.wav,6152.0,14.3,Cargo,6-7 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-05-10_00-25-56_194-828144_Cargo_underway-using-engine_14-3_6152.pt,ship at distance 5-6 km with speed speed_category is activity,ship at distance 6-7 km with speed speed_category is activity,5,6,2022-05-10-00-25-56
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-02-23_08-21-29_162-762798_Fishing_undefined-=-default_5-2_4630.wav,4630.0,5.2,Fishing,4-5 km,0-8,undefined-=-default,/srv/CLAP/files/Test/G_15810_2022-02-23_08-21-29_162-762798_Fishing_undefined-=-default_5-2_4630.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,4,4,2022-02-23-08-21-29
/srv/embeddings_clap/Grafton_29187_test/G_29187_2022-10-30_18-45-19_218-882042_Cargo_underway-using-engine_15-3_1741.wav,1741.0,15.3,Cargo,1-2 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_29187_2022-10-30_18-45-19_218-882042_Cargo_underway-using-engine_15-3_1741.pt,ship at distance 2-3 km with speed speed_category is activity,ship at distance 1-2 km with speed speed_category is activity,2,1,2022-10-30-18-45-19
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-04-18_22-20-06_541-298424_Fishing_engaged-in-fishing_5-4_4251.wav,4251.0,5.4,Fishing,4-5 km,0-8,engaged-in-fishing,/srv/CLAP/files/Test/G_15810_2022-04-18_22-20-06_541-298424_Fishing_engaged-in-fishing_5-4_4251.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,4,4,2022-04-18-22-20-06
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-04-18_19-16-01_528-807194_Cargo_underway-using-engine_11-3_877.wav,877.0,11.3,Cargo,0-1 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-04-18_19-16-01_528-807194_Cargo_underway-using-engine_11-3_877.pt,ship at distance 0-1 km with speed speed_category is activity,ship at distance 0-1 km with speed speed_category is activity,0,0,2022-04-18-19-16-01
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-05-20_05-22-31_59-320092_Tanker_underway-using-engine_12-3_2987.wav,2987.0,12.3,Tanker,2-3 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-05-20_05-22-31_59-320092_Tanker_underway-using-engine_12-3_2987.pt,ship at distance 6-7 km with speed speed_category is activity,ship at distance 2-3 km with speed speed_category is activity,6,2,2022-05-20-05-22-31
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-02-23_11-05-07_542-122848_Tanker_underway-using-engine_12-0_4038.wav,4038.0,12.0,Tanker,4-5 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-02-23_11-05-07_542-122848_Tanker_underway-using-engine_12-0_4038.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,4,4,2022-02-23-11-05-07
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-02-07_23-11-14_425-094261_Tanker_underway-using-engine_11-5_1644.wav,1644.0,11.5,Tanker,1-2 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-02-07_23-11-14_425-094261_Tanker_underway-using-engine_11-5_1644.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 1-2 km with speed speed_category is activity,3,1,2022-02-07-23-11-14
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-05-10_04-26-16_170-837912_Cargo_underway-using-engine_9-3_3201.wav,3201.0,9.3,Cargo,3-4 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-05-10_04-26-16_170-837912_Cargo_underway-using-engine_9-3_3201.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 3-4 km with speed speed_category is activity,4,3,2022-05-10-04-26-16
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-05-04_06-54-33_265-032906_Cargo_underway-using-engine_12-2_5243.wav,5243.0,12.2,Cargo,5-6 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-05-04_06-54-33_265-032906_Cargo_underway-using-engine_12-2_5243.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 5-6 km with speed speed_category is activity,4,5,2022-05-04-06-54-33
/srv/embeddings_clap/Grafton_28434_test/G_28434_2022-09-13_22-04-45_301-489403_Cargo_underway-using-engine_14-4_1462.wav,1462.0,14.4,Cargo,1-2 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_28434_2022-09-13_22-04-45_301-489403_Cargo_underway-using-engine_14-4_1462.pt,ship at distance 2-3 km with speed speed_category is activity,ship at distance 1-2 km with speed speed_category is activity,2,1,2022-09-13-22-04-45
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-04-24_17-18-26_23-609204_Cargo_underway-using-engine_11-1_9372.wav,9372.0,11.1,Cargo,9-10 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-04-24_17-18-26_23-609204_Cargo_underway-using-engine_11-1_9372.pt,ship at distance 7-8 km with speed speed_category is activity,ship at distance 9-10 km with speed speed_category is activity,7,9,2022-04-24-17-18-26
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-05-04_23-16-21_79-059375_Tanker_underway-using-engine_11-9_7479.wav,7479.0,11.9,Tanker,7-8 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-05-04_23-16-21_79-059375_Tanker_underway-using-engine_11-9_7479.pt,ship at distance 5-6 km with speed speed_category is activity,ship at distance 7-8 km with speed speed_category is activity,5,7,2022-05-04-23-16-21
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-01-22_17-54-11_338-509511_Tanker_constrained-by-her-draught_13-7_2757.wav,2757.0,13.7,Tanker,2-3 km,5-14,constrained-by-her-draught,/srv/CLAP/files/Test/G_15810_2022-01-22_17-54-11_338-509511_Tanker_constrained-by-her-draught_13-7_2757.pt,ship at distance 2-3 km with speed speed_category is activity,ship at distance 2-3 km with speed speed_category is activity,2,2,2022-01-22-17-54-11
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-01-22_08-41-55_372-540283_Cargo_underway-using-engine_14-2_6355.wav,6355.0,14.2,Cargo,6-7 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-01-22_08-41-55_372-540283_Cargo_underway-using-engine_14-2_6355.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 6-7 km with speed speed_category is activity,4,6,2022-01-22-08-41-55
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-01-22_02-59-20_36-910707_Cargo_underway-using-engine_12-3_4691.wav,4691.0,12.3,Cargo,4-5 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-01-22_02-59-20_36-910707_Cargo_underway-using-engine_12-3_4691.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,3,4,2022-01-22-02-59-20
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-01-22_15-10-33_434-261683_Cargo_underway-using-engine_13-4_4614.wav,4614.0,13.4,Cargo,4-5 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-01-22_15-10-33_434-261683_Cargo_underway-using-engine_13-4_4614.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,4,4,2022-01-22-15-10-33
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-04-18_10-34-26_425-243266_Tanker_underway-using-engine_14-2_3349.wav,3349.0,14.2,Tanker,3-4 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-04-18_10-34-26_425-243266_Tanker_underway-using-engine_14-2_3349.pt,ship at distance 2-3 km with speed speed_category is activity,ship at distance 3-4 km with speed speed_category is activity,2,3,2022-04-18-10-34-26
/srv/embeddings_clap/Grafton_28434_test/G_28434_2022-09-13_20-48-03_57-769023_Tanker_underway-using-engine_14-6_4506.wav,4506.0,14.6,Tanker,4-5 km,14+,underway-using-engine,/srv/CLAP/files/Test/G_28434_2022-09-13_20-48-03_57-769023_Tanker_underway-using-engine_14-6_4506.pt,ship at distance 4-5 km with speed speed_category is activity,ship at distance 4-5 km with speed speed_category is activity,4,4,2022-09-13-20-48-03
/srv/embeddings_clap/GardenCity_15811_test/G_15811_2022-04-24_00-41-16_121-817745_Tanker_underway-using-engine_10-0_2156.wav,2156.0,10.0,Tanker,2-3 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15811_2022-04-24_00-41-16_121-817745_Tanker_underway-using-engine_10-0_2156.pt,ship at distance 5-6 km with speed speed_category is activity,ship at distance 2-3 km with speed speed_category is activity,5,2,2022-04-24-00-41-16
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-02-23_20-48-03_97-408928_Cargo_at-anchor_0-8_6796.wav,6796.0,0.8,Cargo,6-7 km,0-8,at-anchor,/srv/CLAP/files/Test/G_15810_2022-02-23_20-48-03_97-408928_Cargo_at-anchor_0-8_6796.pt,ship at distance 5-6 km with speed speed_category is activity,ship at distance 6-7 km with speed speed_category is activity,5,6,2022-02-23-20-48-03
/srv/embeddings_clap/Grafton_15810_test/G_15810_2022-04-18_20-27-36_96-738081_Fishing_underway-using-engine_8-1_2007.wav,2007.0,8.1,Fishing,2-3 km,5-14,underway-using-engine,/srv/CLAP/files/Test/G_15810_2022-04-18_20-27-36_96-738081_Fishing_underway-using-engine_8-1_2007.pt,ship at distance 3-4 km with speed speed_category is activity,ship at distance 2-3 km with speed speed_category is activity,3,2,2022-04-18-20-27-36
